event_id,origin_time,origin_year,magnitude,magnitude_type,depth_km,latitude,longitude,region_code,num_responses,max_cdi,severe_label,sequence_id,role
us20003mcj,2015-09-21T05:39:34Z,2015,6.1,mww,30.0,-31.5757,-71.7431,G-040-0080,128,4.8,0,SEQ_us20003k7a,train
us20003mgp,2015-09-21T15:37:08Z,2015,5.4,mww,25.57,-31.0239,-71.7936,G-040-0080,29,3.0,0,SEQ_us20003k7a,train
us20003mi0,2015-09-21T17:40:00Z,2015,6.6,mww,35.0,-31.7275,-71.3792,G-040-0080,283,5.3,0,SEQ_us20003k7a,train
us20003mis,2015-09-21T18:36:53Z,2015,5.5,mww,26.95,-31.0458,-71.82,G-040-0080,11,2.8,0,SEQ_us20003k7a,train
us20003mjn,2015-09-21T19:56:08Z,2015,5.6,mww,28.36,-31.7819,-71.6407,G-040-0080,43,3.8,0,SEQ_us20003k7a,train
us20003msd,2015-09-22T07:13:00Z,2015,6.0,mww,58.0,-31.4441,-71.2653,G-040-0080,112,6.4,1,SEQ_us20003k7a,train
us20003p9y,2015-09-26T02:51:18Z,2015,6.3,mww,46.0,-30.8148,-71.3217,G-040-0080,110,6.5,1,SEQ_us20003k7a,train
us20003pnw,2015-09-28T15:28:05Z,2015,5.9,mww,219.0,-23.8028,-66.6126,G-030-0070,11,3.4,0,SEQ_us20003pnw,train
us10003jb2,2015-09-30T17:25:54Z,2015,5.4,mww,42.0,18.0401,-101.3369,G+010-0110,71,5.3,0,SEQ_us10003jb2,train
us10003jyn,2015-10-03T06:03:42Z,2015,5.8,mww,14.53,-37.4557,-73.6761,G-040-0080,33,4.6,0,SEQ_us10003jyn,train
us10003jyt,2015-10-03T06:26:55Z,2015,5.9,mww,38.0,-30.301,-71.551,G-040-0080,19,6.0,1,SEQ_us20003k7a,train
us10003k7q,2015-10-04T14:50:34Z,2015,5.3,mww,92.0,-16.2684,-72.1052,G-020-0080,10,4.9,0,SEQ_us10003k7q,development
us10003kg9,2015-10-05T16:33:26Z,2015,5.9,mww,34.0,-30.3035,-71.5318,G-040-0080,37,4.5,0,SEQ_us20003k7a,train
us10003ksq,2015-10-06T21:27:33Z,2015,5.2,mww,22.4,36.1682,29.8952,G+030+0020,26,4.8,0,SEQ_us10003ksq,development
us10003mjs,2015-10-09T18:27:36Z,2015,5.5,mww,35.0,-31.7323,-71.7325,G-040-0080,18,4.1,0,SEQ_us20003k7a,train
us10003mxv,2015-10-12T08:05:01Z,2015,5.6,mww,22.0,-40.5837,176.2884,G-050+0170,13,5.0,0,SEQ_us10003mxv,train
us10003niy,2015-10-14T07:47:18Z,2015,5.0,mww,125.68,7.6522,-73.3038,G+000-0080,35,5.9,0,SEQ_us10003niy,train
us10003nud,2015-10-15T10:07:28Z,2015,5.4,mww,97.13,-2.5015,-78.7623,G-010-0080,33,6.4,1,SEQ_us10003nud,development
us10003pc9,2015-10-17T11:33:08Z,2015,5.8,mww,17.0,-25.4674,-64.4839,G-030-0070,39,5.1,0,SEQ_us10003pc9,development
us10003pkj,2015-10-19T02:17:37Z,2015,5.3,mww,10.0,24.7696,122.0479,G+020+0120,26,3.9,0,SEQ_us10003pkj,train
us10003pnb,2015-10-19T13:50:41Z,2015,5.8,mww,106.0,13.8654,120.6172,G+010+0120,153,5.2,0,SEQ_us10003pnb,development
us10003ptl,2015-10-20T00:36:54Z,2015,5.4,mww,78.0,12.8678,143.9008,G+010+0140,40,3.8,0,SEQ_us10003ptl,development
